,SNR,b,gamma,p_error,s,t0,tau,v
0,44.47,1.0,0.11,0.05000000074505806,0.002738,[0.],0.43,7.2e-05
1,37.91,1.0,0.46,0.05000000074505806,0.004251,[0.],0.45,5.5e-05
2,143.44,1.0,-0.94,0.05000000074505806,0.008393,[0.],0.01,4.9e-05
3,63.36,1.0,-0.12,0.05000000074505806,0.009441,[0.],0.96,4.6e-05
4,158.77,1.0,-0.98,0.05000000074505806,0.010653,[0.],1.21,6e-05
5,155.27,1.0,-0.99,0.05000000074505806,0.008886,[0.],1.63,5.7e-05
6,140.42,1.0,-0.98,0.05000000074505806,0.009101,[0.],1.52,6.6e-05
7,135.05,1.0,-0.99,0.05000000074505806,0.006417,[0.],4.22,5.1e-05
8,71.07,1.0,0.32,0.05000000074505806,0.005421,[0.],0.3,7.7e-05
9,108.45,1.0,-0.91,0.05000000074505806,0.007398,[0.],4.52,6.7e-05
10,49.12,1.0,0.25,0.05000000074505806,0.006152,[0.],0.72,7.2e-05
11,103.3,1.0,-0.99,0.05000000074505806,0.006796,[0.],1.25,6.3e-05
12,36.27,1.0,0.29,0.05000000074505806,0.008472,[0.],1.53,4.7e-05
13,207.42,1.0,-0.99,0.05000000074505806,0.01114,[0.],3.03,3.9e-05
14,44.89,1.0,-0.99,0.05000000074505806,0.003226,[0.],0.42,4.7e-05
15,40.94,1.0,-0.99,0.05000000074505806,0.003639,[0.],0.01,6.4e-05
16,38.57,1.0,0.24,0.05000000074505806,0.00379,[0.],1.46,9.8e-05
17,139.98,1.0,-0.99,0.05000000074505806,0.008612,[0.],3.24,5.9e-05
18,109.83,1.0,-0.86,0.05000000074505806,0.008058,[0.],0.08,5.8e-05
19,144.39,1.0,-0.95,0.05000000074505806,0.008203,[0.],4.78,5.7e-05
20,238.39,1.0,-0.99,0.05000000074505806,0.008706,[0.],4.99,3.9e-05
21,244.26,1.0,-0.99,0.05000000074505806,0.007034,[0.],2.14,2.9e-05
22,107.21,1.0,-0.96,0.05000000074505806,0.008507,[0.],4.09,8.4e-05
23,233.42,1.0,-0.97,0.05000000074505806,0.008207,[0.],2.57,3.5e-05
24,139.6,1.0,-0.99,0.05000000074505806,0.010646,[0.],0.01,5.3e-05
25,66.02,1.0,-0.99,0.05000000074505806,0.006605,[0.],4.85,9.5e-05
26,265.2,1.0,-0.99,0.05000000074505806,0.009142,[0.],4.51,3e-05
27,49.34,1.0,-0.99,0.05000000074505806,0.005362,[0.],0.37,0.000106
28,38.08,1.0,0.01,0.05000000074505806,0.003151,[0.],0.92,2.3e-05
29,59.81,1.0,0.33,0.05000000074505806,0.004292,[0.],0.62,4.1e-05
30,195.74,1.0,-0.99,0.05000000074505806,0.008046,[0.],0.6,3e-05
